product,sentiment,notes,text,is_spam_pipeline
Steam Deck,Neutral,,Bhai please give steam deck please dedo,False
Steam Deck,Neutral,,Pubg mentioned in big 2026?,False
Steam Deck,Neutral,,"So called tech creators unboxing only mobile 📱 
While this man is at the pinacal❤❤❤
Love u venom bhai",False
Steam Deck,Neutral,,Gameloop sa pubg mobile kalka dikao plz,False
Steam Deck,Neutral,Question,Why was there the suicide hotline under this video?,False
Steam Deck,Neutral,,Switch deck drift,False
Steam Deck,Negative,,Smells like broke in here,False
Steam Deck,Neutral,Language Error,WOWWW UNA CONSOLA QUE SALIO HACE 3 AÑOS CONTRA UNA DEL AÑO PASADO ... WOWWWWW. ESTE CRACK ROMPIO LA MATRIX----,False
Steam Deck,Neutral,,"Would really enjoy a blooper reel at the end credits, like a movie.",False
Steam Deck,Neutral,,RAMpires... Amazing XD,False
Steam Deck,Neutral,,Thanks for the great video.,False
Steam Deck,Neutral,Question,6:42 call of WHAT?,False
Steam Deck,Neutral,,The world when Im finally an adult: 😢,False
Nintendo Switch,Neutral,,Nintendo switch,False
Nintendo Switch,Neutral,,Team Both 👇,False
Nintendo Switch,Neutral,,The band is called,False
Nintendo Switch,Neutral,,switch chew,False
Nintendo Switch,Neutral,Unrelated,East Hoya West mobile is best,False
Nintendo Switch,Neutral,Unrelated,holy cornball,False
Nintendo Switch,Neutral,Unrelated,P chhote wala kitne ka,False
Nintendo Switch,Neutral,Unrelated,"Congratulations, you made a Wii U😂😂😂",False
Nintendo Switch,Neutral,,"Know 2dow
Fi
EwofCdo
Wdd29",False
Nintendo Switch,Neutral,Unrelated,Well Mario also has bob-ombs so....,False
Nintendo Switch,Neutral,,All the off brand shit 😂,False
Nintendo Switch,Neutral,,I got that,False
Nintendo Switch,Neutral,Unrelated,I love you,False
Nintendo Switch,Neutral,Unrelated,That’s a generated 😂😂😂,False
Nintendo Switch,Positive,Ambiguous,Switch 2,False
Nintendo Switch,Neutral,Unrelated,Slime rancher 2,False
Nintendo Switch,Positive,Unrelated,"Venom bhai, literally loved your video. The way you speak the real pros and cons and the way of explaining, top notch bhai. Keep making these kind of ",False
Nintendo Switch,Positive,,Bohot hi accha,False
Iphone 17,Neutral,Language Error,Anna phone kodi nanu Swiggy,False
Iphone 17,Neutral,Question,Brother 17 and  16 plus comparison kudunga brother,False
Iphone 17,Neutral,Question,Bro esport ke liya lena chaiye ki nahi or recording ke sath kitna gaming ho jata hai ye i phone 17? Plz Reply bro,False
Iphone 17,Neutral,Language Error,bro Indiail esim simple ayittu install cheyum,False
Iphone 17,Neutral,Question,Bro 17 pro max how,False
Iphone 17,Positive,,My phone also 17❤,False
Iphone 17,Neutral,,Bro 5x photo video unda,False
Iphone 17,Neutral,Unrelated,U have an asymmetric face😢,False
Iphone 17,Neutral,Unrelated,5 finger claw ke liye suitable hai 😢,False
Iphone 17,Positive,Unrelated,Thanks bro❤,False
Iphone 17,Neutral,Unrelated,11 to 17.,False
Iphone 17,Neutral,Unrelated,Bro 17 republic day price drop heli bro,False
Iphone 17,Neutral,Question,whoop band 4.0 unboxing video madi bro,False
Iphone 17,Neutral,Unrelated,Iphone 11 il ninn 17 ilekk upgrade akkiya njn🎉😅,False
Iphone 17,Neutral,Unrelated,iPhone 17 case link,False
Iphone 17,Neutral,Unrelated,Bhai aapki long video ka wait karta hu hamesha kya mast videos upload karte ho bhai aap 🫀🥹,False
