product,sentiment,notes,text,cleaned
Iphone 17,Neutral,Language Error,Dhe ipo poy eduthond van athil irunnn kanunnn😅,dhe ipo poy eduthond van athil irunnn kanunnn😅
Iphone 17,Positive,,Watching on my new iPhone 17.,watching on my new iphone 17.
Iphone 17,Positive,Unrelated,Urs advice super brooo😊,urs advice super brooo😊
Iphone 17,Neutral,Unrelated,"3 months, long term… okay","3 months, long term. okay"
Nintendo Switch,Positive,Ambiguous,I want,i want
Iphone 17,Neutral,Language Error,naa 15 to 17 ku upgrade pannalam nu iruka,naa 15 to 17 ku upgrade pannalam nu iruka
Iphone 17,Neutral,Language Error,Oru 17 vaanghichu 24 manikoor use cheythilla motherboard adichu poii guys  valla thelivum vennell MYG KARUNAGAPPALY SHOW,oru 17 vaanghichu 24 manikoor use cheythilla motherboard adichu poii guys valla thelivum vennell myg karunagappaly showr
Nintendo Switch,Positive,,Goodbye Switch 1 Classic. Hello SWITCH 2!!! >:),goodbye switch 1 classic. hello switch 2! >:)
Steam Deck,Negative,,"If the steam machine is more than 1.5k, don't release it. If you do, you will embarrass yourself Valve","if the steam machine is more than 1.5k, don't release it. if you do, you will embarrass yourself valve"
Steam Deck,Neutral,Question,How you have a custom skin on your deck? How do you add this,how you have a custom skin on your deck? how do you add this
Nintendo Switch,Neutral,Unrelated,The first one looks like my Nintendo,the first one looks like my nintendo
Nintendo Switch,Negative,Unrelated,For a tech YouTuber pretty stupid to keep on comparing it to a ps5 they are different consoles for different style of ga,for a tech youtuber pretty stupid to keep on comparing it to a ps5 they are different consoles for different style of ga
Steam Deck,Negative,Ambiguous,"If your steam deck is old the thermal paste could be melted replacing the paste can make it run MUCH better, this guy is","if your steam deck is old the thermal paste could be melted replacing the paste can make it run much better, this guy is"
Steam Deck,Neutral,Language Error,"Ich habe mir vor einem jahr eins gekauft und nie damit gespielt 😂.
Jetzt wo ich hörte das viele eins haben möchten aber ",ich habe mir vor einem jahr eins gekauft und nie damit gespielt 😂. jetzt wo ich hörte das viele eins haben möchten aber 
Nintendo Switch,Negative,Unrelated,he's been sued by Nintendo 64 times now,he's been sued by nintendo 64 times now
