product_query,video_id,video_title,video_url,channel_name,published_at,view_count,comment_count,video_like_count,comment_id,author_name,comment_text,cleaned_comment_text,comment_like_count,detected_language,updated_at,sentiment_label,aspect_label,review_notes,is_empty,is_deleted,is_short_comment,is_single_word,is_spam,is_removed_by_cleaning,is_translated,is_ambiguous,is_future_demand,is_language_error,is_question,is_unrelated
Steam Deck,wFkqqaBz7SE,That's It...I can't recommend the Steam Deck anymore.,https://www.youtube.com/watch?v=wFkqqaBz7SE,The Comic Book Gamer,2026-05-29T01:11:53Z,8066,148,230.0,Ugx8cod-Tg3TKydb75R4AaABAg,@paulwilliams2024,Even before the price hike I couldn’t recommend the steam deck after 2024 .,even before the price hike i couldn’t recommend the steam deck after 2024 .,0,english,2026-05-30T03:40:37Z,Negative,Purchase Intent,,False,False,False,False,False,False,False,0,0,0,0,0
Steam Deck,QoGV9pqqYrk,Nintendo Switch 2 vs. Steam Deck!,https://www.youtube.com/watch?v=QoGV9pqqYrk,EmSwizzle,2025-08-21T19:00:22Z,9331948,2259,154254.0,UgyEjQi-yRkm2npA0Xh4AaABAg,@BeoSam_05,Nintendo games are sht anyways,nintendo games are sht anyways,0,english,2026-05-12T07:05:24Z,Negative,Gaming,,False,False,False,False,False,False,False,0,0,0,0,0
Steam Deck,WmyomoDTj0A,I Can No Longer Recommend the Steam Deck...,https://www.youtube.com/watch?v=WmyomoDTj0A,Nick Flip,2026-05-30T14:00:02Z,19897,454,512.0,UgykcvUG0F5bGjCIb6J4AaABAg,@mbovingfredy5114,"If the steam machine is more than 1.5k, don't release it. If you do, you will embarrass yourself Valve","if the steam machine is more than 1.5k, don't release it. if you do, you will embarrass yourself valve",0,english,2026-05-30T20:15:29Z,Negative,Other,,False,False,False,False,False,False,False,0,0,0,0,0
Steam Deck,sYqisoq8Yp4,Should You Buy Steam Deck in 2025? Ft. Steam Deck OLED,https://www.youtube.com/watch?v=sYqisoq8Yp4,Venom's Tech,2024-12-24T16:21:03Z,211899,591,6572.0,UgzaOcV9FPS3n3eRy_d4AaABAg,@parasjaiya42,"Steam Deck OLED or Asus ROG Ally
Which is better for Assassin's Creed Games (Mirage, Valhalla, Shadows)?
Or Laptop  in their price range is better","steam deck oled or asus rog ally which is better for assassin's creed games (mirage, valhalla, shadows)? or laptop in their price range is better",0,english,2026-02-02T22:54:13Z,Neutral,Competition,Question,False,False,False,False,False,False,False,0,0,0,1,0
Steam Deck,sYqisoq8Yp4,Should You Buy Steam Deck in 2025? Ft. Steam Deck OLED,https://www.youtube.com/watch?v=sYqisoq8Yp4,Venom's Tech,2024-12-24T16:21:03Z,211899,591,6572.0,Ugya47psnUMmRrrRgVp4AaABAg,@Automatic685g,Bhai Asus Ka Handled wala buy karna chahiye ki nahi batado pls😊,brother asus ka handled wala buy to do want ki not batado pls😊,0,hinglish,2024-12-31T09:50:07Z,Neutral,Purchase Intent,Question,False,False,False,False,False,False,True,0,0,0,1,0
Steam Deck,sYqisoq8Yp4,Should You Buy Steam Deck in 2025? Ft. Steam Deck OLED,https://www.youtube.com/watch?v=sYqisoq8Yp4,Venom's Tech,2024-12-24T16:21:03Z,211899,591,6572.0,UgwanIZXdSfaV8XjiEB4AaABAg,@Dizzazoen,Steam deck oled vs rog ally,steam deck oled vs rog ally,0,english,2025-01-02T10:14:55Z,Neutral,Competition,Question,False,False,False,False,False,False,False,0,0,0,1,0
Steam Deck,uCVXqoVi6RE,Almost Perfect - Steam Deck OLED Review,https://www.youtube.com/watch?v=uCVXqoVi6RE,Linus Tech Tips,2023-11-09T18:02:46Z,3032335,4400,86557.0,UgzeJ4lXzI5Liyx0DI54AaABAg,@WINNERTAKES,"My advice is that DO NOT BUY Steam deck, at least not directly from valve. Poor device, even wors customer service. I ordered one last july and it had a faulty panel and it would reset mid game on regular basis. They said they would fix it for free, but the repair service claimed that the screen was cracked when they received it (but, I suspect that their technician broke it). They also claimed that it couldn't have broken in transit because it was very well packaged and therefore the warranty would not cover the damages. Device was in mint condition externally when it was sent to get repaired. Also, I had kept it clean and well protected. They would have aggreed to fix the screen for a little under half of the original purchase price. I declined since that would not fix the ”powering off” issue.","my advice is that do not buy steam deck, at least not directly from valve. poor device, even wors customer service. i ordered one last july and it had a faulty panel and it would reset mid game on regular basis. they said they would fix it for free, but the repair service claimed that the screen was cracked when they received it (but, i suspect that their technician broke it). they also claimed that it couldn't have broken in transit because it was very well packaged and therefore the warranty would not cover the damages. device was in mint condition externally when it was sent to get repaired. also, i had kept it clean and well protected. they would have aggreed to fix the screen for a little under half of the original purchase price. i declined since that would not fix the ”powering off” issue.",0,english,2025-02-03T17:27:45Z,Negative,Support,,False,False,False,False,False,False,False,0,0,0,0,0
Steam Deck,oCHC2SK0s9A,Steam Deck in 2025 (Still Worth Getting?),https://www.youtube.com/watch?v=oCHC2SK0s9A,Garrett Crespo,2025-09-08T15:30:23Z,315626,752,6450.0,UgwtCyVfDo_gUm3W7G14AaABAg,@Dr.WhetFarts,We need a Steam Deck 2 OLED with RDNA 4 or newer (FSR 4 support + FSR FG with ML) ASAP. Imagine with 3D cache as well on the CPU cores... DROOL,we need a steam deck 2 oled with rdna 4 or newer (fsr 4 support + fsr fg with ml) asap. imagine with 3d cache as well on the cpu cores. drool,0,english,2025-12-20T21:39:57Z,Neutral,Hardware,Future Demand,False,False,False,False,False,False,False,0,1,0,0,0
Steam Deck,6iV-_MPxoPc,Endlich AAA-Spiele für Leute mit wenig Zeit – perfekt für Steam Deck & Co.,https://www.youtube.com/watch?v=6iV-_MPxoPc,Steam Dad,2026-06-04T07:00:23Z,1763,40,181.0,Ugwxgkad0JGJuLrzVkt4AaABAg,@GSTar1973,Ich hoffe das 007 First Light bald für die NS2 erscheint,ich hoffe das 007 first light bald für die ns2 erscheint,3,english,2026-06-04T07:45:30Z,Neutral,Other,Language Error,False,False,False,False,False,False,False,0,0,1,0,0
Steam Deck,SSvi521GzFI,Steam Deck - Handheld Gaming Redefined?,https://www.youtube.com/watch?v=SSvi521GzFI,Venom's Tech,2022-12-20T12:22:19Z,890394,1348,27468.0,UgzI6K9gfU9mdEm05dJ4AaABAg,@OveshShaikh-v1d,Bhai please give steam deck please dedo,brother please give steam deck please dedo,1,hinglish,2024-04-04T22:36:09Z,Neutral,Spam,,False,False,False,False,False,False,True,0,0,0,0,0
